Node Number =    6212
          4322.63623         12614.38574            13.30620
          4522.78320         12614.38477            13.29598
          4722.93018         12614.38477            13.29597
          4923.07764         12614.38477            13.29595
          5123.22461         12614.38477            13.29727
          5323.37158         12614.38477            13.29593
          5523.51855         12614.38477            13.29592
          5723.66553         12614.38477            13.29591
          5923.81250         12614.38477            13.29590
          6123.95947         12614.38477            13.29589
          6324.10645         12614.38477            13.29588
          6524.25342         12614.38477            13.29745
          6724.40039         12614.38477            13.29585
          6924.54736         12614.38477            13.29584
          7124.69385         12614.38477            13.29583
          7324.84082         12614.38477            13.29582
          7524.98779         12614.38477            13.29581
          7725.13477         12614.38477            13.29579
          7925.28174         12614.38477            13.29578
          8125.42822         12614.38477            13.30636
          8325.57520         12614.38477            13.29576
          8525.72168         12614.38477            13.28717
          8725.86914         12614.38477            13.29838
          8926.01562         12614.38477            13.29727
          9126.16211         12614.38477            13.29571
          9326.30859         12614.38477            13.29823
          9526.45605         12614.38477            13.29568
          9726.60254         12614.38477            13.33450
          9926.74902         12614.38477            13.29566
         10126.89648         12614.38477            13.29564
         10327.04297         12614.38477            13.29563
         10527.18945         12614.38477            13.29562
         10727.33594         12614.38477            13.29561
         10927.48242         12614.38477            13.29559
         11127.62891         12614.38477            13.29558
         11327.77637         12614.38477            13.29797
         11527.92285         12614.38477            13.29826
         11728.06934         12614.38379            13.29554
         11928.21582         12614.38379            13.29552
         12128.36328         12614.37695            13.29550
         12328.50195         12614.39062            13.29703
         12528.62988         12614.34668            13.29544
         12728.62891         12614.85547            13.29603
         12929.05273         12614.24121            13.29528
         13128.37012         12617.68262            13.29937
         13332.20605         12615.83008            13.29878
         13530.48438         12610.31738            13.29341
         13735.00586         12616.72363            13.29744
         13953.39844         12610.55566            13.28870
         14150.12500         12585.32910            13.26636
         14332.03223         12483.10645            13.08747
         14506.92090         12392.37598            12.95139
         14680.50293         12503.73145            13.09594
         14853.64258         12376.00781            12.93623
         15026.80762         12448.16406            12.98960
         15200.00000         12400.00000            12.96000
           173.19200         12243.54980            12.69859
             0.00000         12200.00000            12.64000
           346.37494         12126.88867            12.53215
           519.58325         12226.52539            12.67152
           692.73462         12327.03223            12.85341
           865.80133         12226.82422            12.67142
